"site_id","entity_id","latitude","longitude","elevation","geology","cover_thickness","distance_entrance","d18O_measurements","datings","min_corr_age","max_corr_age","period","mineralogy","mean_d18O"
1,1,30.7903,77.7764,3000,"limestone","30","32.4",737,37,12209.19,56235.5,44026.31,"calcite",-5.705
1,2,30.7903,77.7764,3000,"limestone","30","32.4",703,24,24957,43676,18719,"calcite",-5.72
1,3,30.7903,77.7764,3000,"limestone","30","32.4",462,18,43675,58309.79,14634.79,"calcite",-6.26
1,4,30.7903,77.7764,3000,"limestone","30","32.4",1614,31,58310,179204,120894,"calcite",-5.435
1,5,30.7903,77.7764,3000,"limestone","30","32.4",218,8,179279.92,191449,12169.08,"calcite",-5.178
1,6,30.7903,77.7764,3000,"limestone","30","32.4",107,4,227021,234000,6979,"calcite",-5.481
1,7,30.7903,77.7764,3000,"limestone","30","32.4",187,5,271150,283817,12667,"calcite",-4.88
1,8,30.7903,77.7764,3000,"limestone","30","32.4",346,3,199872,225988,26116,"calcite",-6.044
1,9,30.7903,77.7764,3000,"limestone","30","32.4",198,6,874,3477,2603,"calcite",-8.592
1,10,30.7903,77.7764,3000,"limestone","30","32.4",249,7,243063,265735,22672,"calcite",-5.412
2,11,42.87,81.75,2000,"unknown","NULL","NULL",134,7,3570,9890,6320,"calcite",-11.05
2,12,42.87,81.75,2000,"unknown","NULL","NULL",384,36,53270.21,235118.53,181848.32,"calcite",-9.069
2,13,42.87,81.75,2000,"unknown","NULL","NULL",450,22,257190.17,456456.18,199266.01,"calcite",-8.414
2,14,42.87,81.75,2000,"unknown","NULL","NULL",159,4,5,3520,3515,"calcite",-8.602
2,15,42.87,81.75,2000,"unknown","NULL","NULL",770,45,75374.61,298324.8,222950.19,"calcite",-9.796
2,16,42.87,81.75,2000,"unknown","NULL","NULL",51,7,8429,15009,6580,"calcite",-9.971
2,17,42.87,81.75,2000,"unknown","NULL","NULL",610,23,70872.64,230103.04,159230.4,"calcite",-9.886
2,19,42.87,81.75,2000,"unknown","NULL","NULL",46,4,852,1318,466,"calcite",-8.662
3,20,-4.0667,-55.45,60,"limestone","NULL","200",449,15,714.41,4811.51,4097.1,"calcite",-7.183
3,21,-4.0667,-55.45,60,"limestone","NULL","200",145,8,-48.05,768.47,816.52,"calcite",-5.699
3,22,-4.0667,-55.45,60,"limestone","NULL","500",111,12,40683,44635.83,3952.83,"calcite",-3.845
3,23,-4.0667,-55.45,60,"limestone","NULL","500",817,41,17956.63,45143.94,27187.31,"calcite",-3.727
3,24,-4.0667,-55.45,60,"limestone","NULL","500",100,3,26490.28,28443.66,1953.38,"calcite",-3.657
3,25,-4.0667,-55.45,60,"limestone","NULL","200",402,13,4439.78,10926.55,6486.77,"calcite",-7.225
3,26,-4.0667,-55.45,60,"limestone","NULL","200",168,15,9475.67,28285.94,18810.27,"calcite",-3.451
4,27,45.43,0.78,175,"limestone","NULL","NULL",102,9,-43,8657,8700,"calcite",-4.849
4,28,45.43,0.78,175,"limestone","30","NULL",299,26,31437.91,82854.5,51416.59,"calcite",-3.829
4,29,45.43,0.78,175,"limestone","40","200",85,12,5361,15875,10514,"calcite",-4.363
4,30,45.43,0.78,175,"limestone","30","NULL",143,13,28892.68,52156.42,23263.74,"calcite",-4.154
4,31,45.43,0.78,175,"limestone","30","NULL",191,24,31340.9,49663.24,18322.34,"calcite",-3.812
4,32,45.43,0.78,175,"limestone","25","150",611,6,1055,178002,176947,"calcite",-4.557
